"","lat","lon","date","time"
"1",33.264861,-117.432292,"2011-08-17","21:38:11"
"2",33.264634,-117.432023,"2011-08-17","21:38:12"
"3",33.264407,-117.431768,"2011-08-17","21:38:13"
"4",33.264171,-117.431529,"2011-08-17","21:38:14"
"5",33.263924,-117.431303,"2011-08-17","21:38:15"
"6",33.263674,-117.431097,"2011-08-17","21:38:16"
"7",33.263423,-117.430891,"2011-08-17","21:38:17"
"8",33.26316,-117.430699,"2011-08-17","21:38:18"
"9",33.262904,-117.430505,"2011-08-17","21:38:19"
"10",33.26265,-117.430301,"2011-08-17","21:38:20"
"11",33.262387,-117.4301,"2011-08-17","21:38:21"
"12",33.262126,-117.429892,"2011-08-17","21:38:22"
"13",33.261862,-117.429686,"2011-08-17","21:38:23"
"14",33.261597,-117.429479,"2011-08-17","21:38:24"
"15",33.261329,-117.42927,"2011-08-17","21:38:25"
"16",33.261059,-117.429059,"2011-08-17","21:38:26"
"17",33.260785,-117.428847,"2011-08-17","21:38:27"
"18",33.260507,-117.428635,"2011-08-17","21:38:28"
"19",33.260231,-117.42842,"2011-08-17","21:38:29"
"20",33.259961,-117.428206,"2011-08-17","21:38:30"
"21",33.259689,-117.427994,"2011-08-17","21:38:31"
"22",33.259415,-117.427776,"2011-08-17","21:38:32"
"23",33.25914,-117.427558,"2011-08-17","21:38:33"
"24",33.258865,-117.427342,"2011-08-17","21:38:34"
"25",33.258593,-117.427128,"2011-08-17","21:38:35"
"26",33.258321,-117.426916,"2011-08-17","21:38:36"
"27",33.258053,-117.426703,"2011-08-17","21:38:37"
"28",33.257786,-117.4265,"2011-08-17","21:38:38"
"29",33.257524,-117.42629,"2011-08-17","21:38:39"
"30",33.257265,-117.426084,"2011-08-17","21:38:40"
"31",33.257002,-117.425877,"2011-08-17","21:38:41"
"32",33.256749,-117.425671,"2011-08-17","21:38:42"
"33",33.256493,-117.425469,"2011-08-17","21:38:43"
"34",33.256235,-117.425272,"2011-08-17","21:38:44"
"35",33.255971,-117.42508,"2011-08-17","21:38:45"
"36",33.255704,-117.424887,"2011-08-17","21:38:46"
"37",33.255435,-117.424686,"2011-08-17","21:38:47"
"38",33.255166,-117.424479,"2011-08-17","21:38:48"
"39",33.254905,-117.424261,"2011-08-17","21:38:49"
"40",33.254639,-117.424047,"2011-08-17","21:38:50"
"41",33.254373,-117.423831,"2011-08-17","21:38:51"
"42",33.254105,-117.423614,"2011-08-17","21:38:52"
"43",33.253833,-117.423399,"2011-08-17","21:38:53"
"44",33.253557,-117.423181,"2011-08-17","21:38:54"
"45",33.253283,-117.422966,"2011-08-17","21:38:55"
"46",33.253009,-117.422743,"2011-08-17","21:38:56"
"47",33.252731,-117.422516,"2011-08-17","21:38:57"
